mmdd,radarAccum
0127,1.4733824
0128,1.7837814
0129,13.610115
0130,7.2452636
0131,0.8192815
0201,1.04599444e-07
0202,0.73561597
0203,0.05715809
0204,0.019212263
0205,0.673046
0206,0.019034049
0207,0.0211466
0208,1.311186e-06
0209,2.2284834e-08
0210,0.001118501
0211,0.0074016424
0212,0.02899116
0213,0.09549811
0214,0.034901097
0215,0.0014788548
0216,2.8576656e-08
0217,0.0
0218,7.5964856e-08
0219,0.0
0220,0.0
0221,0.0
0222,0.000105407395
0223,0.0048995973
0224,0.0011552982
0225,0.0066951597
0226,0.049415402
0227,7.113334e-07
0228,2.5375721
0301,0.2060686
0302,0.0
0303,0.0
0304,0.009320184
0305,0.042112205
0306,4.9944018e-05
0307,1.1343831e-05
0308,0.15018661
0309,0.5801359
0310,0.0
0311,0.0
0312,0.0
0313,2.3426857
0314,0.40132645
0315,0.507838
0316,6.5803924e-08
0317,0.00023131706
0318,0.01143054
0319,0.003788337
0320,0.0012521691
0321,11.518294
0322,5.27007
0323,0.04650589
0324,2.5873446e-09
0325,0.0012385529
0326,5.6745176
0403,2.2726138
0404,0.021338327
0405,0.18064335
0406,1.917716
0407,4.6579553e-06
0408,0.001956054
0409,4.1050363
0410,9.6706505
0411,4.6066756
0412,0.07138886
0413,0.039063934
0414,6.796463
0415,8.845664
0416,0.072486624
0417,3.179795e-08
0418,0.0
0419,0.87453425
0420,18.12101
0421,18.758184
0422,25.322159
0423,3.6261494
0424,7.0946436
0425,15.0998
0426,10.484686
0427,3.3831017
0428,15.686687
0429,7.3562818
0430,0.004419001
0501,0.46848392
0502,0.25205296
0503,0.36622015
0504,1.861866
0505,0.0
0506,1.6076134e-05
0507,0.00057925005
0508,4.2050743e-08
0509,0.0
0510,1.3942115
0511,5.445831
0512,0.0
0513,1.3002946
0514,0.108416155
0515,0.0
0516,3.9005282
0517,22.560122
0518,0.2788692
0519,0.0027525646
0520,0.038577415
0521,0.058451883
0522,0.0
0523,0.0
0524,0.0
0525,0.0
0526,0.0
0527,0.021031607
0528,0.0
0529,0.029913472
0530,0.9117346
0531,0.045287464
0601,0.040678106
0602,0.36132473
0603,10.020705
